종목,date,series,value
LG에너지솔루션,2026-05-18,종가,185100.0
LG에너지솔루션,2026-05-18,5일 이동평균,186860.0
LG에너지솔루션,2026-05-18,20일 이동평균,170135.0
LG에너지솔루션,2026-05-19,종가,180800.0
LG에너지솔루션,2026-05-19,5일 이동평균,185620.0
LG에너지솔루션,2026-05-19,20일 이동평균,171845.0
LG에너지솔루션,2026-05-20,종가,177800.0
LG에너지솔루션,2026-05-20,5일 이동평균,183360.0
LG에너지솔루션,2026-05-20,20일 이동평균,173415.0
LG에너지솔루션,2026-05-21,종가,187800.0
LG에너지솔루션,2026-05-21,5일 이동평균,182180.0
LG에너지솔루션,2026-05-21,20일 이동평균,175285.0
LG에너지솔루션,2026-05-22,종가,187500.0
LG에너지솔루션,2026-05-22,5일 이동평균,183800.0
LG에너지솔루션,2026-05-22,20일 이동평균,177095.0
LG에너지솔루션,2026-05-26,종가,187200.0
LG에너지솔루션,2026-05-26,5일 이동평균,184220.0
LG에너지솔루션,2026-05-26,20일 이동평균,178645.0
LG에너지솔루션,2026-05-27,종가,192000.0
LG에너지솔루션,2026-05-27,5일 이동평균,186460.0
LG에너지솔루션,2026-05-27,20일 이동평균,180560.0
LG에너지솔루션,2026-05-28,종가,190900.0
LG에너지솔루션,2026-05-28,5일 이동평균,189080.0
LG에너지솔루션,2026-05-28,20일 이동평균,182100.0
LG에너지솔루션,2026-05-29,종가,202500.0
LG에너지솔루션,2026-05-29,5일 이동평균,192020.0
LG에너지솔루션,2026-05-29,20일 이동평균,184225.0
LG에너지솔루션,2026-06-01,종가,229000.0
LG에너지솔루션,2026-06-01,5일 이동평균,200320.0
LG에너지솔루션,2026-06-01,20일 이동평균,187500.0
LG에너지솔루션,2026-06-02,종가,231500.0
LG에너지솔루션,2026-06-02,5일 이동평균,209180.0
LG에너지솔루션,2026-06-02,20일 이동평균,191160.0
LG에너지솔루션,2026-06-04,종가,220000.0
LG에너지솔루션,2026-06-04,5일 이동평균,214780.0
LG에너지솔루션,2026-06-04,20일 이동평균,193680.0
LG에너지솔루션,2026-06-05,종가,211000.0
LG에너지솔루션,2026-06-05,5일 이동평균,218800.0
LG에너지솔루션,2026-06-05,20일 이동평균,194765.0
LG에너지솔루션,2026-06-08,종가,192500.0
LG에너지솔루션,2026-06-08,5일 이동평균,216800.0
LG에너지솔루션,2026-06-08,20일 이동평균,195120.0
LG에너지솔루션,2026-06-09,종가,203500.0
LG에너지솔루션,2026-06-09,5일 이동평균,211700.0
LG에너지솔루션,2026-06-09,20일 이동평균,196160.0
LG에너지솔루션,2026-06-10,종가,191500.0
LG에너지솔루션,2026-06-10,5일 이동평균,203700.0
LG에너지솔루션,2026-06-10,20일 이동평균,195990.0
LG에너지솔루션,2026-06-11,종가,193500.0
